table_name,rls_enabled,rls_forced,policy_count
zz_033_flags_backup,false,false,0
accounting_categories,true,false,1
accounting_connections,true,false,1
accounting_imports,true,false,1
accounting_providers,true,false,2
accounting_transactions,true,false,1
assistant_conversations,true,false,1
assistant_messages,true,false,1
automation_executions,true,false,1
automation_rule_templates,true,false,2
automation_rules,true,false,1
booking_settings,true,false,1
briefing_snapshots,true,false,1
business_members,true,false,3
business_settings,true,false,1
businesses,true,false,3
calendar_events,true,false,2
calendar_sync_state,true,false,2
calls,true,false,2
email_accounts,true,false,2
email_briefings,true,false,2
email_connections,true,false,1
email_drafts,true,false,2
email_messages,true,false,2
email_outbox,true,false,2
email_sync_states,true,false,1
executive_meeting_action_items,true,false,1
executive_meeting_decisions,true,false,1
executive_meeting_goals,true,false,1
executive_meeting_messages,true,false,1
executive_meeting_settings,true,false,1
executive_meetings,true,false,1
financial_summary_cache,true,false,1
integrations,true,false,1
invoice_line_items,true,false,1
invoices,true,false,5
knowledge_base_items,true,false,1
oauth_tokens,true,false,1
onboarding_checklist,true,false,1
onboarding_sessions,true,false,1
plan_definitions,true,false,2
platform_admins,true,false,1
profiles,true,false,4
quote_line_items,true,false,1
quote_settings,true,false,1
quotes,true,false,1
receptionist_configs,true,false,1
stripe_events,true,false,0
support_articles,true,false,3
support_conversations,true,false,1
support_messages,true,false,1
support_tickets,true,false,4
tasks,true,false,5
usage_meters,true,false,1
whatsapp_configs,true,false,1
whatsapp_messages,true,false,1
whatsapp_pending_actions,true,false,1
xero_connections,true,false,1
