schema,object_type,granted_by,default_acl
auth,S,supabase_auth_admin,"{postgres=rwU/supabase_auth_admin,dashboard_user=rwU/supabase_auth_admin}"
auth,f,supabase_auth_admin,"{postgres=X/supabase_auth_admin,dashboard_user=X/supabase_auth_admin}"
auth,r,supabase_auth_admin,"{postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin}"
extensions,S,supabase_admin,{postgres=r*w*U*/supabase_admin}
extensions,f,supabase_admin,{postgres=X*/supabase_admin}
extensions,r,supabase_admin,{postgres=a*r*w*d*D*x*t*m*/supabase_admin}
graphql,S,supabase_admin,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
graphql,f,supabase_admin,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
graphql,r,supabase_admin,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
graphql_public,S,supabase_admin,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
graphql_public,f,supabase_admin,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
graphql_public,r,supabase_admin,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
public,S,supabase_admin,"{postgres=rwU/supabase_admin,anon=rwU/supabase_admin,authenticated=rwU/supabase_admin,service_role=rwU/supabase_admin}"
public,S,postgres,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres}"
public,f,supabase_admin,"{postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
public,f,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
public,r,postgres,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"
public,r,supabase_admin,"{postgres=arwdDxtm/supabase_admin,anon=arwdDxtm/supabase_admin,authenticated=arwdDxtm/supabase_admin,service_role=arwdDxtm/supabase_admin}"
realtime,S,supabase_admin,"{postgres=rwU/supabase_admin,dashboard_user=rwU/supabase_admin}"
realtime,f,supabase_admin,"{postgres=X/supabase_admin,dashboard_user=X/supabase_admin}"
realtime,r,supabase_admin,"{postgres=arwdDxtm/supabase_admin,dashboard_user=arwdDxtm/supabase_admin}"
storage,S,postgres,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres}"
storage,f,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
storage,r,postgres,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"
