tablename,rls_enabled
accounting_providers,false
automation_executions,false
automation_rule_templates,false
automation_rules,false
briefing_snapshots,false
business_settings,false
email_sync_state_backup,false
executive_meeting_action_items,false
executive_meeting_decisions,false
executive_meeting_goals,false
executive_meeting_messages,false
executive_meeting_settings,false
executive_meetings,false
integrations,false
onboarding_checklist,false
onboarding_sessions,false
plan_definitions,false
profiles,false
support_articles,false
accounting_categories,true
accounting_connections,true
accounting_imports,true
accounting_transactions,true
assistant_conversations,true
assistant_messages,true
booking_settings,true
business_members,true
businesses,true
calendar_events,true
calendar_sync_state,true
calls,true
email_accounts,true
email_briefings,true
email_connections,true
email_drafts,true
email_messages,true
email_outbox,true
email_sync_states,true
financial_summary_cache,true
invoices,true
knowledge_base_items,true
oauth_tokens,true
platform_admins,true
quote_line_items,true
quote_settings,true
quotes,true
receptionist_configs,true
stripe_events,true
support_conversations,true
support_messages,true
support_tickets,true
tasks,true
whatsapp_configs,true
whatsapp_messages,true
whatsapp_pending_actions,true
xero_connections,true
